Name,Kills,Deaths,Suicides,Caps,Assists,TKs,TKed,Maps,
AHNS,530,429,6,7,133,6,6,11,
BONK,268,375,0,4,67,2,2,8,
C2,299,386,9,0,56,4,3,9,
DYS,490,474,1,6,85,8,8,10,
FLRK,357,513,3,7,78,3,3,9,
GB,307,373,3,1,58,9,9,9,
IKKO,421,360,3,11,98,4,4,9,
SD,507,479,0,7,112,5,5,11,
WIN,496,339,3,7,111,5,5,11,
