Name,Plays,Kills,Caps
envoy,7143545,4719599,7536757,
saitama,10,696,30,
shrine,2,1994098908,18502808,
tetsu,8,634,16,
threadplate,3,261,0,
ballistremade,4,351,5,
snowfall,22,14347064,4,
uptown,1065353217,18560585,3,
